date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:18	124/124	---M-Z	200	added ('OK')	text/plain	date:Mon,%2030%20Dec%202024%2014:01:19%20GMT	https://invistory.com/robots.txt		(from )
22:01:19	174739/174739	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202024%2014:01:20%20GMT	https://invistory.com/wedding-invitation-premium-f/?u=Invistory	D:/YUHA1/Undangan/invistory.com/wedding-invitation-premium-f/indexb22e.html	(from )
22:01:19	96325/96325	---M-Z	200	added ('OK')	text/css	etag:%2217845-65dcb205-2468237e56384860;gz%22	https://invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.17.11	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit673e.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:20	38036/38036	---M-Z	200	added ('OK')	text/css	etag:%229494-65dcb205-e3c52ea2aeb4be18;gz%22	https://invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper.css?ver=7.9.0	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper5125.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:20	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-62fe18cf-63ed82e9febcde9e;gz%22	https://invistory.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.9	D:/YUHA1/Undangan/invistory.com/wp-includes/css/dist/block-library/style.minbfbf.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:20	31246/31246	---M-Z	200	added ('OK')	text/css	etag:%227a0e-65dcc6b4-dcef35871e1f05d7;gz%22	https://invistory.com/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.build.css?ver=1708967604	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.builda272.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:21	1621/1621	---M-Z	200	added ('OK')	application/rss+xml	etag:%224cb89d696c388e9ab58dd92c414ea6cb%22	https://invistory.com/wedding-invitation-premium-f/feed/	D:/YUHA1/Undangan/invistory.com/wedding-invitation-premium-f/feed/index.html	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:21	1327/1327	---M-Z	200	added ('OK')	text/css	etag:%2252f-65a61340-805cf7febd3ff87c;gz%22	https://invistory.com/wp-content/plugins/ajaxify-wp-post-comment-form/public/css/ajaxify-wp-post-comment-form-public.css?ver=1.0.0	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/ajaxify-wp-post-comment-form/public/css/ajaxify-wp-post-comment-form-public8a54.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:21	1764/1764	---M-Z	200	added ('OK')	text/css	etag:%226e4-62d83dc0-86ef5f3d5ef68867;gz%22	https://invistory.com/wp-content/plugins/copy-the-code/assets/css/copy-the-code.css?ver=2.2.2	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/copy-the-code/assets/css/copy-the-code605a.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:21	38488/38488	---M-Z	200	added ('OK')	text/css	etag:%229658-65dcc6b4-6f4bfb9b99a74bac;gz%22	https://invistory.com/wp-content/plugins/embedpress/assets/css/embedpress.css?ver=6.0.9	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/embedpress/assets/css/embedpressbfbf.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:21	84542/84542	---M-Z	200	added ('OK')	text/css	etag:%2214a3e-63b44653-52790c1c9de99731;gz%22	https://invistory.com/wp-content/plugins/quiz-maker/public/css/quiz-maker-public.css?ver=21.7.2	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/quiz-maker/public/css/quiz-maker-publica4f8.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:21	42839/42839	---M-Z	200	added ('OK')	text/css	etag:%22a757-620366e2-566897e309036621;gz%22	https://invistory.com/wp-content/plugins/custom-scrollbar/asset/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css?ver=6.0.9	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/custom-scrollbar/asset/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.minbfbf.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:22	174710/174710	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202024%2014:01:22%20GMT	https://invistory.com/wedding-invitation-premium-f/	D:/YUHA1/Undangan/invistory.com/wedding-invitation-premium-f/index.html	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:22	55414/55414	---M-Z	200	added ('OK')	text/css	etag:%22d876-64dbce43-95e37432b4cb34b4;gz%22	https://invistory.com/wp-content/plugins/wpforms/assets/css/frontend/classic/wpforms-full.min.css?ver=1.8.3.2	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/wpforms/assets/css/frontend/classic/wpforms-full.minbefe.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:22	121505/121505	---M-Z	200	added ('OK')	text/css	etag:%221daa1-6374c1cd-43407e9fce7bc9ca;gz%22	https://invistory.com/wp-content/themes/twentytwenty/style.css?ver=2.1	D:/YUHA1/Undangan/invistory.com/wp-content/themes/twentytwenty/style53cf.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:22	2702/2702	---M-Z	200	added ('OK')	text/css	etag:%22a8e-6374c1a0-6f45cf0b425e80b7;gz%22	https://invistory.com/wp-content/themes/twentytwenty/print.css?ver=2.1	D:/YUHA1/Undangan/invistory.com/wp-content/themes/twentytwenty/print53cf.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:23	19488/19488	---M-Z	200	added ('OK')	text/css	etag:%224c20-65dcbcb9-7c9c38d1858a57a2;gz%22	https://invistory.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.21.0	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind618.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:23	163796/163796	---M-Z	200	added ('OK')	text/css	etag:%2227fd4-65dcbcb9-b14baa33edaf1939;gz%22	https://invistory.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.15.3	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor/assets/css/frontend.minb73d.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:23	12876/12876	---M-Z	200	added ('OK')	text/css	etag:%22324c-65dcbcb9-1822d66970508c09;gz%22	https://invistory.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:23	2239/2239	---M-Z	200	added ('OK')	text/css	etag:%228bf-66b8fd86-83f62b001ccf8c9f;gz%22	https://invistory.com/wp-content/uploads/elementor/css/post-11.css?ver=1723399558	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/elementor/css/post-116eaf.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:24	8154/8154	---M-Z	200	added ('OK')	text/css	etag:%221fda-65dcc6b4-de9ab2dd65dccdf4;gz%22	https://invistory.com/wp-content/plugins/embedpress/assets/css/embedpress-elementor.css?ver=3.9.10	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/embedpress/assets/css/embedpress-elementor8946.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:24	458836/458836	---M-Z	200	added ('OK')	text/css	etag:%2270054-64e5a61f-8a6e5fc37bd49047;gz%22	https://invistory.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.15.1	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor-pro/assets/css/frontend.min5829.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:25	67374/67374	---M-Z	200	added ('OK')	text/css	etag:%221072e-66b95417-f6138064fcfe02c8;gz%22	https://invistory.com/wp-content/uploads/elementor/css/post-58787.css?ver=1723421719	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/elementor/css/post-58787836e.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:25	3315/3315	---M-Z	200	added ('OK')	text/css	etag:%22cf3-63b44653-3c1b74c07918ad50;gz%22	https://invistory.com/wp-content/plugins/quiz-maker/admin/css/admin.css?ver=21.7.2	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/quiz-maker/admin/css/admina4f8.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:25	6559/6559	---M-Z	200	added ('OK')	text/css	etag:%22199f-66b95417-e61cf8574c35637d;gz%22	https://invistory.com/wp-content/uploads/elementor/css/post-58859.css?ver=1723421719	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/elementor/css/post-58859836e.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:25	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-62fe18cf-2b3dd4cd8a3dab17;gz%22	https://invistory.com/wp-includes/css/dashicons.min.css?ver=6.0.9	D:/YUHA1/Undangan/invistory.com/wp-includes/css/dashicons.minbfbf.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:25	32499/32499	---M-Z	200	added ('OK')	text/css	etag:%227ef3-65dcc6b4-a455256493c31fb;gz%22	https://invistory.com/wp-content/plugins/embedpress/assets/css/plyr.css?ver=6.0.9	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/embedpress/assets/css/plyrbfbf.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:25	74620/74620	---M-Z	200	added ('OK')	text/css	etag:%221237c-6373bf6c-52544de7375b43c9;gz%22	https://invistory.com/wp-content/plugins/master-addons/assets/fonts/material-icons/material-icons.css?ver=1.9.6	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/master-addons/assets/fonts/material-icons/material-icons055b.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:26	11397/11397	---M-Z	200	added ('OK')	text/css	etag:%222c85-6373bf6c-3666139331b83917;gz%22	https://invistory.com/wp-content/plugins/master-addons/assets/fonts/iconic-fonts/iconic-font.min.css?ver=1.9.6	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/master-addons/assets/fonts/iconic-fonts/iconic-font.min055b.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:26	17422/17422	---M-Z	200	added ('OK')	text/css	etag:%22440e-6373bf6c-2cdf418599c1252a;gz%22	https://invistory.com/wp-content/plugins/master-addons/assets/fonts/simple-line-icons/simple-line-icons.css?ver=1.9.6	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/master-addons/assets/fonts/simple-line-icons/simple-line-icons055b.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:26	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-65dcbcb9-2c8f1b81fe5a03bb;gz%22	https://invistory.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:26	677/677	---M-Z	200	added ('OK')	text/css	etag:%222a5-65dcbcb9-c00557890a4d5982;gz%22	https://invistory.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:27	669/669	---M-Z	200	added ('OK')	text/css	etag:%2229d-65dcbcb9-4864785656a283bb;gz%22	https://invistory.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:27	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-62fe18c7-2caac40ce1522c2;gz%22	https://invistory.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	D:/YUHA1/Undangan/invistory.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:27	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-62fe18c7-2240a12b9e501cc6;gz%22	https://invistory.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/YUHA1/Undangan/invistory.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:27	2289/2289	---M-Z	200	added ('OK')	application/x-javascript	etag:%228f1-65a61340-7cca853a568d1f35;gz%22	https://invistory.com/wp-content/plugins/ajaxify-wp-post-comment-form/public/js/ajaxify-wp-post-comment-form-public.js?ver=1.0.0	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/ajaxify-wp-post-comment-form/public/js/ajaxify-wp-post-comment-form-public8a54.js	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:28	119883/119883	---M-Z	200	added ('OK')	application/x-javascript	etag:%221d44b-65dcc6b4-ee9cf1f996f621f3;gz%22	https://invistory.com/wp-content/plugins/embedpress/assets/js/plyr.polyfilled.js?ver=1	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/embedpress/assets/js/plyr.polyfilled68b3.js	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:28	26374/26374	---M-Z	200	added ('OK')	application/x-javascript	etag:%226706-6374c1e8-8b3d3ba6b373877e;gz%22	https://invistory.com/wp-content/themes/twentytwenty/assets/js/index.js?ver=2.1	D:/YUHA1/Undangan/invistory.com/wp-content/themes/twentytwenty/assets/js/index53cf.js	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:28	17352/17352	---M-Z	200	added ('OK')	application/x-javascript	etag:%2243c8-64e5a61f-b0ecb95c2472666c;gz%22	https://invistory.com/wp-content/plugins/elementor-pro/assets/js/page-transitions.min.js?ver=3.15.1	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor-pro/assets/js/page-transitions.min5829.js	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:28	1171/1171	---M--	200	added ('OK')	image/png	etag:%22493-5fbdeb93-ca16bc86dcf5fbca;;;%22	https://invistory.com/wp-content/uploads/2020/11/cropped-Favicon-1-32x32.png	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/cropped-Favicon-1-32x32.png	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:29	10940/10940	---M--	200	added ('OK')	image/png	etag:%222abc-5fbdeb91-b625407bc1a86be8;;;%22	https://invistory.com/wp-content/uploads/2020/11/cropped-Favicon-1-192x192.png	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/cropped-Favicon-1-192x192.png	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:29	10069/10069	---M--	200	added ('OK')	image/png	etag:%222755-5fbdeb92-155b8f8c4c1bee4;;;%22	https://invistory.com/wp-content/uploads/2020/11/cropped-Favicon-1-180x180.png	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/cropped-Favicon-1-180x180.png	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:29	78496/78496	---M--	200	added ('OK')	image/jpeg	etag:%22132a0-5fc5c500-204a939b5c001c1d;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-studio-negarin-3650423-scaled-e1605686030769-768x768.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-studio-negarin-3650423-scaled-e1605686030769-768x768.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:29	275238/275238	---M--	200	added ('OK')	image/jpeg	etag:%2243326-623ddad0-9973c009119c61de;;;%22	https://invistory.com/wp-content/uploads/2022/03/pexels-soulseeker-1589820-scaled-e1648220880199.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2022/03/pexels-soulseeker-1589820-scaled-e1648220880199.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:30	68732/68732	---M--	200	added ('OK')	image/jpeg	etag:%2210c7c-5fc5c4e5-7721ce2ff8ea2e46;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-studio-negarin-3650423-1-scaled-e1605686005602-768x768.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-studio-negarin-3650423-1-scaled-e1605686005602-768x768.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:30	390023/390023	---M--	200	added ('OK')	image/png	etag:%225f387-64c8cb0d-dd55c03cd7178e99;;;%22	https://invistory.com/wp-content/uploads/2023/08/Flower-Orchid-768x724.png	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2023/08/Flower-Orchid-768x724.png	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:30	13301/13301	---M--	200	added ('OK')	image/png	etag:%2233f5-629e3007-ffc5403ceebfc90b;;;%22	https://invistory.com/wp-content/uploads/2022/06/Element-Imla-Putra-Divider-Rotate-Invistory-Undangan-Digital.png	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2022/06/Element-Imla-Putra-Divider-Rotate-Invistory-Undangan-Digital.png	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:31	375664/375664	---M--	200	added ('OK')	image/jpeg	etag:%225bb70-5fb4a5c5-446bbd3f96797620;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-pixabay-371312-scaled.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-pixabay-371312-scaled.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:31	362355/362355	---M--	200	added ('OK')	image/jpeg	etag:%2258773-5fbe28b8-b250724ca92c9c4f;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-va%cc%86n-tha%cc%86%cc%81ng-1415133-scaled.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-va%cc%86n-tha%cc%86%cc%81ng-1415133-scaled.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:31	336641/336641	---M--	200	added ('OK')	image/jpeg	etag:%2252301-5fb4a3a5-844cf3d2d91e54cc;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-emma-bauso-2253870-scaled.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-emma-bauso-2253870-scaled.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:32	267700/267700	---M--	200	added ('OK')	image/jpeg	etag:%22415b4-5faf8b52-70ddfdaddde71124;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-trung-nguyen-2959192-scaled-e1605339986159.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-trung-nguyen-2959192-scaled-e1605339986159.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:32	281133/281133	---M--	200	added ('OK')	image/jpeg	etag:%2244a2d-5fb4a593-95ad41b687ef698f;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-kayla-renee-1608590.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-kayla-renee-1608590.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:33	418017/418017	---M--	200	added ('OK')	image/jpeg	etag:%22660e1-5fb4a5a0-3fcb1b2424b525ff;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-emma-bauso-3585806-scaled.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-emma-bauso-3585806-scaled.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:33	52565/52565	---M--	200	added ('OK')	image/png	etag:%22cd55-628dbd88-34b577a136c39b79;;;%22	https://invistory.com/wp-content/uploads/2022/05/BCA-Logo-Gift-Wedding-Virtual-Invistory-Undangan-Digital-1024x320.png	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2022/05/BCA-Logo-Gift-Wedding-Virtual-Invistory-Undangan-Digital-1024x320.png	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:33	13623/13623	---M--	200	added ('OK')	image/png	etag:%223537-6131b25f-3839aa7a2d93a5ec;;;%22	https://invistory.com/wp-content/uploads/2021/09/handrwan-green-flower-leaf-invistory-undangan-digital.png	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2021/09/handrwan-green-flower-leaf-invistory-undangan-digital.png	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:33	675542/675542	---M--	200	added ('OK')	image/jpeg	etag:%22a4ed6-5fb4a4c5-ac8521dd6e63e125;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-dimitri-kuliuk-949224.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-dimitri-kuliuk-949224.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:33	13667/13667	---M--	200	added ('OK')	image/png	etag:%223563-617eabda-40fe02a4a69b41;;;%22	https://invistory.com/wp-content/uploads/2021/10/handrwan-green-flower-leaf-left-invistory-undangan-digital.png	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2021/10/handrwan-green-flower-leaf-left-invistory-undangan-digital.png	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2014:01:35%20GMT	https://invistory.com/wedding-invitation-premium-f/%22data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20preserveAspectRatio='none'%20overflow='visible'%20height='100%'%20viewBox='0%200%2024%2024'%20fill='none'%20stroke='black'%20stroke-width='9.3'%20stroke-linecap='square'%20stroke-miterlimit='10'%3E%3Cpolyline%20points='0,18%2012,6%2024,18%20'/%3E%3C/svg%3E%22	D:/YUHA1/Undangan/invistory.com/wedding-invitation-premium-f/_data_image/svg+xml,_svg%20xmlns='http_/www.w3.org/2000/svg'%20preserveAspectRatio='none'%20overflow='visib/__/svg__	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:35	57976/57976	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2014:01:36%20GMT	https://invistory.com/wedding-invitation-premium-f/%22data:image/svg+xml,%3Csvg%20xmlns=http:/www.w3.org/2000/svg%20preserveAspectRatio=none%20overflow=visible%20height=100%%20viewBox=0%200%2024%2024%20fill=none%20stroke=black%20stroke-width=9.3%20stroke-linecap=square%20stroke-miterlimit=10%3E%3Cpolyline%20points=0,18%2012,6%2024,18%20/%3E%3C/svg%3E	D:/YUHA1/Undangan/invistory.com/wedding-invitation-premium-f/_data_image/svg+xml,_svg%20xmlns=http_/www.w3.org/2000/svg%20preserveAspectRatio=none%20overflow=visible%20h/__/svg_	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:35	12468/12468	---M--	200	added ('OK')	image/png	etag:%2230b4-5fae384c-99d9c97d252ea573;;;%22	https://invistory.com/wp-content/uploads/2020/11/cropped-Logo-Panjang.png	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/cropped-Logo-Panjang.png	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:35	76669/76669	---M--	200	added ('OK')	image/jpeg	etag:%2212b7d-5fbdea90-9125efef8cf3b77e;;;%22	https://invistory.com/wp-content/uploads/2020/11/pexels-matthew-5607654-683x1024.jpg	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/2020/11/pexels-matthew-5607654-683x1024.jpg	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:35	627/627	---M-Z	200	added ('OK')	text/css	etag:%22273-65dcb205-77b67a7ccbfe1470;gz%22	https://invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-advanced-divider.css?ver=7.9.0	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-advanced-divider5125.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:35	11334/11334	---M-Z	200	added ('OK')	text/css	etag:%222c46-65dcb205-a4efb80ebda9ecc8;gz%22	https://invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-timeline.css?ver=7.9.0	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-timeline5125.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:36	8966/8966	---M-Z	200	added ('OK')	text/css	etag:%222306-65dcb205-c2c5aa0bc358a26e;gz%22	https://invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-font.css?ver=7.9.0	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-font5125.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:36	3303/3303	---M-Z	200	added ('OK')	text/css	etag:%22ce7-65dcbcb9-4a94aaf2bd34c0e8;gz%22	https://invistory.com/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css?ver=1.2.0	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min7359.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:36	4664/4664	---M-Z	200	added ('OK')	text/css	etag:%221238-65dcb205-505897abc2d9ee7e;gz%22	https://invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/tippy.css?ver=7.9.0	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/bdthemes-element-pack/assets/css/tippy5125.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:36	5766/5766	---M-Z	200	added ('OK')	text/css	etag:%221686-66c35065-6132ce8a72ac8aa3;gz%22	https://invistory.com/wp-content/uploads/elementor/css/post-220.css?ver=1724076133	D:/YUHA1/Undangan/invistory.com/wp-content/uploads/elementor/css/post-220c7cc.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:37	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-65dcbcb9-3a9f8d2fc955888;gz%22	https://invistory.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.15.3	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/elementor/assets/lib/animations/animations.minb73d.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
22:01:37	350596/350596	---M-Z	200	added ('OK')	text/css	etag:%2255984-6373bf6c-a42521f9e6b5ecac;gz%22	https://invistory.com/wp-content/plugins/master-addons/assets/css/master-addons-styles.css?ver=6.0.9	D:/YUHA1/Undangan/invistory.com/wp-content/plugins/master-addons/assets/css/master-addons-stylesbfbf.css	(from https://invistory.com/wedding-invitation-premium-f/?u=Invistory)
